AphiaID,rank,scientificname
152267,Species,Malmgrenia marphysae
129613,Genus,Laonice
129623,Genus,Scolelepis
103853,Species,Pyura tessellata
2032,Family,Golfingiidae
131334,Species,Palposyllis prosostoma
117804,Species,Phialella quadrata
110444,Species,Bodotria pulchella
141577,Species,Arcopagia crassa
129206,Genus,Arenicola
140577,Species,Nuculana minuta
102012,Species,Aora gracilis
229,Family,Cardiidae
111719,Species,Plagioecia patina
137739,Genus,Parvicardium
146532,Species,Aurospio banyulensis
111604,Species,Alcyonidium parasiticum
131128,Species,Laonice cirrata
555677,Species,Dercitus (Dercitus) bucklandi
102408,Species,Ericthonius punctatus
103914,Species,Polycarpa scuba
181373,Species,Cochlodesma praetenue
117940,Species,Thuiaria thuja
125387,Species,Paramuricea clavata
131436,Species,Syllis hyalina
130542,Species,Myriochele heeri
152250,Species,Hypereteone foliosa
107333,Species,Inachus phalangium
138821,Species,Astarte elliptica
139054,Species,Bittium reticulatum
111365,Species,Chartella papyracea
141811,Species,Jujubinus montagui
111695,Species,Crisia denticulata
132072,Genus,Suberites
102281,Species,Gammarus locusta
574582,Species,Philine quadripartita
1107,Infraclass,Thoracica
130343,Species,Aglaophamus agilis
130878,Species,Branchiomma bombyx
111358,Species,Pyripora catenularia
117283,Species,Aglaophenia pluma
130464,Species,Hyalinoecia tubicola
129944,Species,Caulleriella bioculata
138691,Species,Acteon tornatilis
110488,Species,Diastylis rugosa
946,Family,Hesionidae
125361,Species,Eunicella cavolini
138749,Species,Heteranomia squamula
107190,Species,Porcellana platycheles
129654,Genus,Exogone
140474,Species,Musculus niger
140592,Species,Nucula sulcata
125416,Species,Corallium rubrum
111418,Species,Fenestrulina malusii
139959,Species,Emarginula fissura
101471,Genus,Microdeutopus
103733,Species,Diazona violacea
138961,Species,Calyptraea chinensis
137349,Genus,Grania
